acetaminophen,xanax,oedema,dyslexia,C0476254
acetaminophen,promethazine,pruritus,moan,C0859032
acetaminophen,vicodin,erythema,rigidity,C0026837
acetaminophen,xanax,abdominal_pain,sedation,C0542127
acetaminophen,xanax,agranulocytosis,sedation,C0542127
acetaminophen,vicodin,anorexia,sedation,C0542127
acetaminophen,xanax,anxiety,sedation,C0542127
acetaminophen,vicodin,anxiety,sedation,C0542127
acetaminophen,xanax,shivering,sedation,C0542127
acetaminophen,xanax,shock,sedation,C0542127
acetaminophen,xanax,wheezing,dyslexia,C0476254
acetaminophen,valium,wheezing,anaesthesia,C0278134
acetaminophen,xanax,malaise,sedation,C0542127
acetaminophen,vicodin,malaise,sedation,C0542127
acetaminophen,vicodin,somnolence,sedation,C0542127
